sample_id,dataset_name,audio_path,tab_path,split
dist_vintage_clean_bridge/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_bridge/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar.gp5,train
dist_vintage_clean_neck/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_neck/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Kalmah - Heritance of Berija - gp3__2 - Overdriven Guitar.gp5,train
dist_stratocaster_clean_bridge/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_bridge/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar.gp5,train
dist_stratocaster_clean_neck/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_neck/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar.gp5,train
dist_vintage_clean_bridge/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_bridge/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar.gp5,train
dist_vintage_clean_neck/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_neck/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/AC-DC - You Ain't Got A Hold On Me - gp3__2 - Overdriven Guitar.gp5,train
clean_stratocaster_clean_bridge/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_bridge/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar.gp5,train
clean_stratocaster_clean_neck/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_neck/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar.gp5,train
clean_vintage_clean_bridge/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_bridge/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar.gp5,train
clean_vintage_clean_neck/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_neck/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Charlie Brown Jr - O Coro vai come - gp3__1 - Electric Clean Guitar.gp5,train
dist_stratocaster_clean_bridge/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_bridge/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar.gp5,train
dist_stratocaster_clean_neck/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_neck/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar.gp5,train
dist_vintage_clean_bridge/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_bridge/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar.gp5,train
dist_vintage_clean_neck/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_neck/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Spin Doctors - At this Hour - gp3__1 - Overdriven Guitar.gp5,train
dist_stratocaster_clean_bridge/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_bridge/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar.gp5,train
dist_stratocaster_clean_neck/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_neck/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar.gp5,train
dist_vintage_clean_bridge/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_bridge/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar.gp5,train
dist_vintage_clean_neck/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_neck/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Cky - 96 Quite Bitter Things (intro) - gp3__2 - Distortion Guitar.gp5,train
clean_stratocaster_clean_bridge/Cranberries - Salvation - gp3__2 - Electric Clean Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_bridge/Cranberries - Salvation - gp3__2 - Electric Clean Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Cranberries - Salvation - gp3__2 - Electric Clean Guitar.gp5,train
clean_stratocaster_clean_neck/Cranberries - Salvation - gp3__2 - Electric Clean Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_neck/Cranberries - Salvation - gp3__2 - Electric Clean Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Cranberries - Salvation - gp3__2 - Electric Clean Guitar.gp5,train
clean_vintage_clean_bridge/Cranberries - Salvation - gp3__2 - Electric Clean Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_bridge/Cranberries - Salvation - gp3__2 - Electric Clean Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Cranberries - Salvation - gp3__2 - Electric Clean Guitar.gp5,train
clean_vintage_clean_neck/Cranberries - Salvation - gp3__2 - Electric Clean Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_neck/Cranberries - Salvation - gp3__2 - Electric Clean Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Cranberries - Salvation - gp3__2 - Electric Clean Guitar.gp5,train
dist_stratocaster_clean_bridge/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_bridge/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar.gp5,train
dist_stratocaster_clean_neck/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_neck/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar.gp5,train
dist_vintage_clean_bridge/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_bridge/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar.gp5,train
dist_vintage_clean_neck/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_neck/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Attaque 77 - Donde Las Aguilas Se Atreven - gp4__3 - Overdriven Guitar.gp5,train
clean_stratocaster_clean_bridge/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_bridge/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar.gp5,train
clean_stratocaster_clean_neck/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_neck/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar.gp5,train
clean_vintage_clean_bridge/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_bridge/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar.gp5,train
clean_vintage_clean_neck/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_neck/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Tool - Ticks And Leeches (2) - gp3__3 - Electric Jazz Guitar.gp5,train
clean_stratocaster_clean_bridge/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_bridge/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar.gp5,train
clean_stratocaster_clean_neck/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_neck/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar.gp5,train
clean_vintage_clean_bridge/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_bridge/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar.gp5,train
clean_vintage_clean_neck/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_neck/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Pink Floyd - Take it back - gp3__3 - Electric Clean Guitar.gp5,train
clean_stratocaster_clean_bridge/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_bridge/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar.gp5,train
clean_stratocaster_clean_neck/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_neck/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar.gp5,train
clean_vintage_clean_bridge/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_bridge/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar.gp5,train
clean_vintage_clean_neck/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_neck/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Rolling Stones (The) - Break The Spell - gp4__2 - Electric Jazz Guitar.gp5,train
dist_stratocaster_clean_bridge/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_bridge/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar.gp5,train
dist_stratocaster_clean_neck/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_neck/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar.gp5,train
dist_vintage_clean_bridge/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_bridge/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar.gp5,train
dist_vintage_clean_neck/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_neck/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/After Forever - Monolith of Doubt - gp4__1 - Distortion Guitar.gp5,train
clean_stratocaster_clean_bridge/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_bridge/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar.gp5,train
clean_stratocaster_clean_neck/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_neck/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar.gp5,train
clean_vintage_clean_bridge/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_bridge/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar.gp5,train
clean_vintage_clean_neck/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_neck/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Coldplay - Everything_'s Not Lost - gp3__4 - Electric Jazz Guitar.gp5,train
dist_stratocaster_clean_bridge/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_bridge/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar.gp5,train
dist_stratocaster_clean_neck/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/dist_stratocaster_clean_neck/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar.gp5,train
dist_vintage_clean_bridge/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_bridge/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar.gp5,train
dist_vintage_clean_neck/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/dist_vintage_clean_neck/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Offspring (The) - Have You Ever (2) - gp3__2 - Overdriven Guitar.gp5,train
clean_stratocaster_clean_bridge/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_bridge/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar.gp5,train
clean_stratocaster_clean_neck/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar__midi/stratocaster_clean_neck_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_neck/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar__midi/stratocaster_clean_neck_nonoise_stere.flac,dadaGP-dataset/singletracks/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar.gp5,train
clean_vintage_clean_bridge/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar__midi/vintage_clean_bridge_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_bridge/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar__midi/vintage_clean_bridge_nonoise_stereo.flac,dadaGP-dataset/singletracks/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar.gp5,train
clean_vintage_clean_neck/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar__midi/vintage_clean_neck_nonoise_stereo,SynthTab,SynthTab/clean_vintage_clean_neck/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar__midi/vintage_clean_neck_nonoise_stereo.flac,dadaGP-dataset/singletracks/Eels - Climbing To The Moon - gp4__2 - Electric Jazz Guitar.gp5,train
clean_stratocaster_clean_bridge/Rammstein - Ein Lied (2) - gp4__1 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere,SynthTab,SynthTab/clean_stratocaster_clean_bridge/Rammstein - Ein Lied (2) - gp4__1 - Electric Jazz Guitar__midi/stratocaster_clean_bridge_nonoise_stere.flac,dadaGP-dataset/singletracks/Rammstein - Ein Lied (2) - gp4__1 - Electric Jazz Guitar.gp5,train
